162	0.8	0	4.79E-01
163	0.8	0.05	4.29E-01
164	0.8	0.1001	3.80E-01
165	0.8	0.1501	3.31E-01
166	0.8	0.2	2.82E-01
167	0.8	0.2251	2.58E-01
168	0.8	0.2501	2.33E-01
169	0.8	0.275	2.09E-01
170	0.8	0.3	1.85E-01
171	0.8	0.33	1.56E-01
172	0.8	0.36	1.28E-01
173	0.8	0.39	9.92E-02
174	0.8	0.42	7.07E-02
175	0.8	0.45	4.22E-02
176	0.8	0.48	1.37E-02
177	0.8	0.51	-1.48E-02
178	0.8	0.54	-4.33E-02
179	0.8	0.57	-7.20E-02
180	0.8	0.6	-1.01E-01
181	0.85	0	4.90E-01
182	0.85	0.05	4.40E-01
183	0.85	0.1001	3.90E-01
184	0.85	0.1501	3.41E-01
185	0.85	0.2	2.92E-01
186	0.85	0.2251	2.68E-01
187	0.85	0.2501	2.43E-01
188	0.85	0.275	2.19E-01
189	0.85	0.3	1.95E-01
190	0.85	0.33	1.66E-01
191	0.85	0.36	1.38E-01
192	0.85	0.39	1.09E-01
193	0.85	0.42	8.01E-02
194	0.85	0.45	5.15E-02
195	0.85	0.48	2.28E-02
196	0.85	0.51	-5.96E-03
197	0.85	0.54	-3.48E-02
198	0.85	0.57	-6.40E-02
199	0.85	0.6	-9.36E-02
200	0.85	0.6251	-1.16E-01
201	0.9	0	5.00E-01
202	0.9	0.05	4.50E-01
203	0.9	0.1001	4.00E-01
204	0.9	0.1501	3.51E-01
205	0.9	0.2	3.02E-01
206	0.9	0.2251	2.78E-01
207	0.9	0.2501	2.53E-01
208	0.9	0.275	2.29E-01
209	0.9	0.3	2.05E-01
210	0.9	0.33	1.76E-01
211	0.9	0.36	1.47E-01
212	0.9	0.39	1.18E-01
213	0.9	0.42	8.95E-02
214	0.9	0.45	6.08E-02
215	0.9	0.48	3.20E-02
216	0.9	0.51	3.17E-03
217	0.9	0.54	-2.58E-02
218	0.9	0.57	-5.49E-02
219	0.9	0.6	-8.43E-02
220	0.9	0.6251	-1.00E-01
221	0.9	0.65	-1.19E-01
222	0.9499	0	5.09E-01
223	0.9499	0.05	4.59E-01
224	0.9499	0.1001	4.10E-01
225	0.9499	0.1501	3.60E-01
226	0.9499	0.2	3.12E-01
227	0.9499	0.2251	2.87E-01
228	0.9499	0.2501	2.63E-01
229	0.9499	0.275	2.39E-01
230	0.9499	0.3	2.14E-01
231	0.9499	0.33	1.85E-01
232	0.9499	0.36	1.57E-01
233	0.9499	0.3901	1.28E-01
234	0.9499	0.42	9.89E-02
235	0.9499	0.45	7.01E-02
236	0.9499	0.48	4.14E-02
237	0.9499	0.51	1.26E-02
238	0.9499	0.54	-1.63E-02
239	0.9499	0.57	-4.51E-02
240	0.9499	0.6	-7.41E-02
241	0.9499	0.6251	-7.91E-02
242	0.9499	0.65	-8.49E-02
243	0.9499	0.675	-9.84E-02
244	1	0	5.19E-01
245	1	0.05	4.69E-01
246	1	0.1001	4.19E-01
247	1	0.1501	3.70E-01
248	1	0.2	3.21E-01
249	1	0.2251	2.96E-01
250	1	0.2501	2.72E-01
251	1	0.275	2.48E-01
252	1	0.3	2.24E-01
253	1	0.33	1.95E-01
254	1	0.36	1.66E-01
255	1	0.39	1.37E-01
256	1	0.42	1.08E-01
257	1	0.45	7.95E-02
258	1	0.48	5.08E-02
259	1	0.51	2.21E-02
260	1	0.54	-6.50E-03
261	1	0.57	-3.51E-02
262	1	0.6	-6.36E-02
263	1	0.6251	-5.49E-02
264	1	0.65	-4.41E-02
265	1	0.675	-2.49E-02
266	1	0.7	0.00E+00
267	1.06	0	5.29E-01
268	1.06	0.05	4.80E-01
269	1.06	0.1001	4.30E-01
270	1.06	0.1501	3.81E-01
271	1.06	0.2	3.32E-01
272	1.06	0.2251	3.07E-01
273	1.06	0.2501	2.83E-01
274	1.06	0.275	2.59E-01
275	1.06	0.3	2.35E-01
276	1.06	0.33	2.06E-01
277	1.06	0.36	1.77E-01
278	1.06	0.3901	1.48E-01
279	1.06	0.42	1.19E-01
280	1.06	0.4501	9.04E-02
281	1.06	0.48	6.19E-02
282	1.06	0.51	3.34E-02
283	1.06	0.5401	4.95E-03
284	1.06	0.5701	-2.33E-02
285	1.06	0.6	-5.13E-02
286	1.06	0.6251	-3.36E-02
287	1.06	0.65	-1.48E-02
288	1.06	0.675	5.04E-03
289	1.06	0.7	2.64E-02
290	1.06	0.73	0.00E+00
291	1.12	0	5.40E-01
292	1.12	0.05	4.90E-01
