#ElemNo	N1	N2	N3	N4	nMat	bActive	Pt1    Pt2
1	8	101	100	9	1	1	1	1
2	10	9	100	98	1	1	1	1
3	43	85	87	44	1	1	1	1
4	6	5	106	104	1	1	1	1
5	42	41	81	83	1	1	1	1
6	211	209	177	179	1	1	1	1
7	84	86	135	133	1	1	1	1
8	14	13	92	90	1	1	1	1
9	52	51	50	99	1	1	1	1
10	125	123	72	74	1	1	1	1
11	66	27	26	68	1	1	1	1
12	75	73	124	126	1	1	1	1
13	190	189	150	151	1	1	1	1
14	123	125	131	165	1	1	1	1
15	38	37	75	77	1	1	1	1
16	160	117	118	161	1	1	1	1
17	141	139	90	92	1	1	1	1
18	134	85	83	132	1	1	1	1
19	142	93	91	140	1	1	1	1
20	99	50	49	97	1	1	1	1
21	106	108	155	153	1	1	1	1
22	58	113	114	59	1	1	1	1
23	68	70	121	119	1	1	1	1
24	76	74	23	22	1	1	1	1
25	90	139	137	88	1	1	1	1
26	57	111	113	58	1	1	1	1
27	113	159	157	114	1	1	1	1
28	45	44	87	89	1	1	1	1
29	103	99	97	146	1	1	1	1
30	180	178	210	212	1	1	1	1
31	56	109	111	57	1	1	1	1
32	19	80	76	20	1	1	1	1
33	163	162	119	121	1	1	1	1
34	94	143	141	92	1	1	1	1
35	71	35	34	69	1	1	1	1
36	69	120	122	71	1	1	1	1
37	115	60	59	114	1	1	1	1
38	30	63	32	31	1	1	1	1
39	12	94	92	13	1	1	1	1
40	16	15	88	86	1	1	1	1
41	78	77	127	128	1	1	1	1
42	17	84	82	18	1	1	1	1
43	182	214	192	184	1	1	1	1
44	102	150	149	101	1	1	1	1
45	56	55	107	109	1	1	1	1
46	60	115	61	1	1	1	1	1
47	36	35	71	73	1	1	1	1
48	62	112	110	3	1	1	1	1
49	110	157	155	108	1	1	1	1
50	87	85	134	136	1	1	1	1
51	118	117	65	66	1	1	1	1
52	22	21	20	76	1	1	1	1
53	151	153	191	190	1	1	1	1
54	2	61	115	235	1	1	1	1
55	65	64	29	28	1	1	1	1
56	64	116	67	63	1	1	1	1
57	89	87	136	138	1	1	1	1
58	107	105	152	154	1	1	1	1
59	117	160	120	116	1	1	1	1
60	153	151	104	106	1	1	1	1
61	53	103	105	54	1	1	1	1
62	145	96	98	147	1	1	1	1
63	127	77	75	126	1	1	1	1
64	98	100	148	147	1	1	1	1
65	108	4	3	110	1	1	1	1
66	112	235	115	114	1	1	1	1
67	14	90	88	15	1	1	1	1
68	28	27	66	65	1	1	1	1
69	48	47	93	95	1	1	1	1
70	53	52	99	103	1	1	1	1
71	143	145	185	183	1	1	1	1
72	40	79	81	41	1	1	1	1
73	112	62	2	235	1	1	1	1
74	213	181	183	215	1	1	1	1
75	191	222	221	190	1	1	1	1
76	6	104	102	7	1	1	1	1
77	32	63	67	33	1	1	1	1
78	55	54	105	107	1	1	1	1
79	36	73	75	37	1	1	1	1
80	29	64	63	30	1	1	1	1
81	34	33	67	69	1	1	1	1
82	8	7	102	101	1	1	1	1
83	39	78	79	40	1	1	1	1
84	114	157	110	112	1	1	1	1
85	46	91	93	47	1	1	1	1
86	12	11	96	94	1	1	1	1
87	16	86	84	17	1	1	1	1
88	25	24	72	70	1	1	1	1
89	10	98	96	11	1	1	1	1
90	42	83	85	43	1	1	1	1
91	48	95	97	49	1	1	1	1
92	38	77	78	39	1	1	1	1
93	26	25	70	68	1	1	1	1
94	23	74	72	24	1	1	1	1
95	45	89	91	46	1	1	1	1
96	4	108	106	5	1	1	1	1
97	19	18	82	80	1	1	1	1
98	95	93	142	144	1	1	1	1
99	132	83	81	130	1	1	1	1
100	74	76	80	125	1	1	1	1
101	167	166	199	200	1	1	1	1
102	157	159	193	155	1	1	1	1
103	126	124	166	167	1	1	1	1
104	199	224	225	200	1	1	1	1
105	105	103	146	152	1	1	1	1
106	102	104	151	150	1	1	1	1
107	131	82	84	133	1	1	1	1
108	152	146	144	184	1	1	1	1
109	162	161	118	119	1	1	1	1
110	140	180	182	142	1	1	1	1
111	154	192	194	156	1	1	1	1
112	149	148	100	101	1	1	1	1
113	158	195	193	159	1	1	1	1
114	68	119	118	66	1	1	1	1
115	72	123	121	70	1	1	1	1
116	82	131	125	80	1	1	1	1
117	163	121	123	165	1	1	1	1
118	95	144	146	97	1	1	1	1
119	220	219	188	189	1	1	1	1
120	71	122	124	73	1	1	1	1
121	111	109	156	158	1	1	1	1
122	185	216	215	183	1	1	1	1
123	86	88	137	135	1	1	1	1
124	89	138	140	91	1	1	1	1
125	179	177	137	139	1	1	1	1
126	81	79	129	130	1	1	1	1
127	113	111	158	159	1	1	1	1
128	78	128	129	79	1	1	1	1
129	189	188	149	150	1	1	1	1
130	107	154	156	109	1	1	1	1
131	234	212	210	233	1	1	1	1
132	69	67	116	120	1	1	1	1
133	148	187	186	147	1	1	1	1
134	94	96	145	143	1	1	1	1
135	181	213	211	179	1	1	1	1
136	135	175	173	133	1	1	1	1
137	65	117	116	64	1	1	1	1
138	134	174	176	136	1	1	1	1
139	176	208	210	178	1	1	1	1
140	195	194	223	222	1	1	1	1
141	217	216	185	186	1	1	1	1
142	184	192	154	152	1	1	1	1
143	169	168	201	202	1	1	1	1
144	122	164	166	124	1	1	1	1
145	203	204	171	170	1	1	1	1
146	129	128	169	170	1	1	1	1
147	193	195	222	191	1	1	1	1
148	187	218	217	186	1	1	1	1
149	127	126	167	168	1	1	1	1
150	128	127	168	169	1	1	1	1
151	144	142	182	184	1	1	1	1
152	174	172	205	206	1	1	1	1
153	141	181	179	139	1	1	1	1
154	205	172	171	204	1	1	1	1
155	209	207	175	177	1	1	1	1
156	199	196	197	224	1	1	1	1
157	143	183	181	141	1	1	1	1
158	138	136	176	178	1	1	1	1
159	156	194	195	158	1	1	1	1
160	147	186	185	145	1	1	1	1
161	120	160	164	122	1	1	1	1
162	173	198	163	165	1	1	1	1
163	130	129	170	171	1	1	1	1
164	132	130	171	172	1	1	1	1
165	155	193	191	153	1	1	1	1
166	167	200	201	168	1	1	1	1
167	218	187	188	219	1	1	1	1
168	131	133	173	165	1	1	1	1
169	135	137	177	175	1	1	1	1
170	140	138	178	180	1	1	1	1
171	134	132	172	174	1	1	1	1
172	207	198	173	175	1	1	1	1
173	148	149	188	187	1	1	1	1
174	212	214	182	180	1	1	1	1
175	234	221	222	223	1	1	1	1
176	170	169	202	203	1	1	1	1
177	164	160	161	196	1	1	1	1
178	162	197	196	161	1	1	1	1
179	166	164	196	199	1	1	1	1
180	208	232	233	210	1	1	1	1
